DATE,CRSPLCV1,CRSPLCVT
20150512,1451.91,1554.67
20150513,1452.15,1555.36
20150514,1465.52,1569.90
20150515,1466.29,1571.03
20150518,1469.97,1575.13
20150519,1469.88,1575.51
20150520,1468.69,1574.42
20150521,1471.03,1577.30
20150522,1465.59,1571.47
20150526,1451.38,1556.27
20150527,1462.42,1568.44
20150528,1462.54,1568.84
20150529,1455.35,1561.20
20150601,1456.51,1562.48
20150602,1454.67,1560.53
20150603,1457.40,1563.86
20150604,1443.53,1549.01
20150605,1441.57,1546.95
20150608,1433.88,1539.12
20150609,1436.34,1541.81
20150610,1453.47,1560.28
20150611,1456.67,1564.22
20150612,1446.20,1553.02
20150615,1439.39,1545.73
20150616,1447.83,1554.83
20150617,1450.07,1557.23
20150618,1463.28,1571.76
20150619,1455.25,1563.14
20150622,1462.91,1571.36
20150623,1463.83,1572.35
20150624,1452.25,1559.94
20150625,1447.39,1554.81
20150626,1448.17,1556.10
20150629,1419.74,1525.65
20150630,1421.15,1527.26
20150701,1430.54,1537.84
20150702,1429.54,1536.78
20150706,1423.16,1529.93
20150707,1432.00,1539.43
20150708,1409.20,1515.69
20150709,1413.07,1519.87
20150710,1428.47,1536.42
20150713,1442.05,1551.14
20150714,1448.00,1557.55
20150715,1446.95,1556.42
20150716,1456.49,1566.76
20150717,1451.75,1561.66
20150720,1450.01,1559.82
20150721,1441.61,1550.84
20150722,1440.35,1549.76
20150723,1432.77,1541.79
20150724,1416.25,1524.02
20150727,1408.17,1515.33
20150728,1424.92,1533.37
20150729,1436.95,1546.49
20150730,1437.14,1546.88
20150731,1432.35,1541.76
20150803,1427.91,1536.98
20150804,1424.64,1533.50
20150805,1430.07,1540.32
20150806,1423.26,1533.27
20150807,1417.76,1527.37
20150810,1437.21,1548.38
20150811,1423.53,1534.13
20150812,1424.15,1535.32
20150813,1421.75,1532.88
20150814,1428.49,1540.15
20150817,1433.48,1546.07
20150818,1429.85,1542.57
20150819,1415.92,1527.55
20150820,1389.38,1498.92
20150821,1348.92,1455.68
20150824,1294.49,1396.98
20150825,1272.75,1373.53
20150826,1318.98,1423.60
20150827,1351.77,1459.16
20150828,1352.85,1460.50
20150831,1345.18,1452.28
20150901,1304.67,1408.56
20150902,1324.84,1430.73
20150903,1329.80,1436.15
20150904,1306.95,1411.57
20150908,1339.68,1447.22
20150909,1320.58,1426.73
20150910,1325.95,1432.73
20150911,1329.93,1437.49
20150914,1324.52,1431.69
20150915,1342.28,1450.91
20150916,1355.11,1464.78
20150917,1349.65,1459.28
20150918,1325.23,1432.90
20150921,1331.89,1440.10
20150922,1316.58,1423.55
20150923,1313.11,1419.90
20150924,1309.14,1415.60
20150925,1312.20,1418.92
20150928,1282.36,1387.11
20150929,1287.30,1392.53
20150930,1309.21,1416.37
20151001,1309.26,1416.60
20151002,1326.63,1435.65
20151005,1354.06,1465.36
20151006,1351.39,1462.48
20151007,1363.24,1476.21
20151008,1375.80,1489.81
20151009,1373.73,1487.58
20151012,1373.84,1487.70
20151013,1365.99,1479.32
20151014,1359.13,1471.89
20151015,1378.10,1492.57
20151016,1385.13,1500.18
20151019,1382.21,1497.01
20151020,1381.89,1496.74
20151021,1373.77,1488.23
20151022,1397.38,1513.88
20151023,1411.21,1528.87
20151026,1406.25,1523.51
20151027,1401.17,1518.02
20151028,1419.65,1538.24
20151029,1414.52,1532.81
20151030,1406.43,1524.04
20151102,1423.73,1542.79
20151103,1427.45,1546.85
20151104,1421.18,1540.98
20151105,1419.87,1539.65
20151106,1420.20,1540.26
20151109,1406.75,1526.17
20151110,1409.75,1530.03
20151111,1405.33,1525.23
20151112,1383.78,1502.07
20151113,1373.76,1491.20
20151116,1395.22,1514.97
20151117,1391.28,1511.20
20151118,1412.26,1534.02
20151119,1409.94,1531.60
20151120,1411.21,1533.38
20151123,1409.06,1531.13
20151124,1412.25,1534.67
20151125,1410.30,1532.73
20151127,1411.88,1534.61
20151130,1407.91,1530.34
20151201,1424.17,1548.06
20151202,1406.52,1529.50
20151203,1387.73,1509.14
20151204,1415.55,1539.40
20151207,1405.46,1528.53
20151208,1391.29,1513.33
20151209,1385.21,1506.78
20151210,1388.16,1510.06
20151211,1363.06,1483.07
20151214,1368.53,1489.04
20151215,1387.87,1510.12
20151216,1408.05,1532.19
20151217,1387.44,1510.12
20151218,1363.18,1483.71
20151221,1373.83,1495.37
20151222,1387.93,1510.96
20151223,1408.36,1533.23
20151224,1405.50,1530.12
20151228,1400.59,1524.78
20151229,1413.47,1539.29
20151230,1403.42,1528.53
20151231,1391.14,1515.15
20160104,1372.78,1495.60
20160105,1377.41,1500.65
20160106,1356.60,1478.87
20160107,1325.52,1445.05
20160108,1309.64,1427.75
20160111,1309.35,1427.43
20160112,1317.13,1435.92
20160113,1289.06,1405.41
20160114,1311.01,1429.38
20160115,1281.93,1397.74
20160119,1281.90,1397.71
20160120,1262.37,1376.79
20160121,1268.59,1383.58
20160122,1290.46,1407.43
20160125,1267.99,1382.95
20160126,1289.98,1406.93
20160127,1283.47,1399.99
20160128,1288.43,1405.49
20160129,1323.34,1443.62
20160201,1320.29,1440.37
20160202,1294.35,1412.09
20160203,1303.34,1422.77
20160204,1307.64,1427.52
20160205,1293.79,1412.47
20160208,1278.91,1396.46
20160209,1276.90,1394.76
20160210,1273.47,1391.56
20160211,1253.08,1369.61
20160212,1280.56,1399.86
20160216,1299.24,1421.03
20160217,1318.23,1441.93
20160218,1316.46,1440.02
20160219,1313.19,1436.82
20160222,1331.80,1457.18
20160223,1314.56,1438.42
20160224,1318.59,1442.94
